Date,Time,Username,Device ID,Booked At,Extracted At,Reason
2025-10-20,17:00,Test User A,test_device_A,2025-10-20T15:36:10.544216,2025-10-20T15:36:13.081480,completed
2025-10-20,17:15,Test User B,test_device_B,2025-10-20T15:36:15.522401,2025-10-20T15:36:18.195652,completed
2025-10-20,15:30,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:37:05.193269,2025-10-20T15:38:00.536893,completed
2025-10-20,17:30,Willis Chan,test_device_willis,2025-10-20T15:41:14.330303,2025-10-20T15:41:17.224135,completed
2025-10-20,15:30,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:41:43.303110,2025-10-20T15:42:27.282487,completed
2025-10-20,17:45,Test User C,test_device_C,2025-10-20T15:43:46.216219,2025-10-20T15:43:49.609954,completed
2025-10-20,18:00,Test User D,test_device_D,2025-10-20T15:44:11.646101,2025-10-20T15:44:14.917335,completed
2025-10-20,15:45,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:41:51.944393,2025-10-20T15:49:04.180800,completed
2025-10-20,15:45,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:49:12.932551,2025-10-20T15:49:54.290266,cancelled
2025-10-20,15:45,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:52:19.243299,2025-10-20T15:53:32.373031,cancelled
2025-10-20,15:45,Test Current Slot Real-time,test_current_realtime,2025-10-20T15:53:34.638136,2025-10-20T15:58:09.419814,completed
2025-10-20,16:45,Test Real-time Update,test_realtime,2025-10-20T15:53:29.808800,2025-10-20T15:59:00.707430,cancelled
2025-10-20,17:00,Test Time Visualization,test_time_viz,2025-10-20T15:56:26.017324,2025-10-20T15:59:02.653444,cancelled
2025-10-20,16:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:42:13.269455,2025-10-20T15:59:50.169418,cancelled
2025-10-20,16:15,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:49:19.086394,2025-10-20T15:59:52.371927,cancelled
2025-10-20,16:30,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T15:49:49.338676,2025-10-20T15:59:54.181776,cancelled
2025-10-20,16:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T16:00:57.745140,2025-10-20T16:01:52.521896,completed
2025-10-20,16:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T16:04:50.678221,2025-10-20T16:05:05.624537,completed
2025-10-20,16:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T16:05:12.802985,2025-10-20T16:07:05.828212,cancelled
2025-10-20,16:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T16:08:04.493777,2025-10-20T16:08:16.723581,completed
